ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position,Position2,Date,
7023152,Jalen Pickett,DEN,POR,,7500,10.9,4.36,6.5,19.6,SG,,12022025,
7023322,Kyle Filipowski,UTA,LAL,,7110,10.3,4.12,6.2,18.5,C,PF,12022025,
7022750,Jae'Sean Tate,HOU,PHX,,6000,8.6,3.44,5.2,15.5,SF,PF,12022025,
7023256,Terrence Shannon,MIN,MIL,,6000,8.4,3.36,5,15.1,SG,,12022025,
7001197,Nicolas Batum,LAC,MEM,,6000,8.2,3.28,4.9,14.8,SF,PF,12022025,
7022844,Jeremiah Robinson-Earl,NOP,SAC,,6000,7.9,3.16,4.7,14.2,PF,C,12022025,
7022716,Zeke Nnaji,DEN,POR,,8420,10.7,4.28,6.4,19.3,C,,12022025,
7023278,Pelle Larsson,MIA,OKC,,6000,7.5,3,4.5,13.5,SG,,12022025,
7001357,Pat Connaughton,MIL,MIN,GAME TIME DECISION,6000,7.3,2.92,4.4,13.1,SG,SF,12022025,
7001108,Gary Harris,ORL,CHA,,6000,7.2,2.88,4.3,13,SG,,12022025,
7023287,Adem Bona,PHI,BKN,,6000,7.1,2.84,4.3,12.8,C,,12022025,
7023124,Kris Murray,POR,DEN,GAME TIME DECISION,6000,7,2.8,4.2,12.6,SF,SG,12022025,
7001291,Seth Curry,CHA,ORL,,7930,8.8,3.52,5.3,15.8,SG,,12022025,
7023263,Reed Sheppard,HOU,PHX,,6000,6.2,2.48,3.7,11.2,SG,PG,12022025,
7022836,Davion Mitchell,MIA,OKC,,7790,8,3.2,4.8,14.4,PG,SG,12022025,
7022575,Garrison Mathews,ATL,NYK,,6000,6.1,2.44,3.7,11,SG,SF,12022025,
7023259,Dillon Jones,OKC,MIA,,6000,5.9,2.36,3.5,10.6,SF,,12022025,
7001153,Alex Len,LAL,UTA,,6000,5.7,2.28,3.4,10.3,C,,12022025,
7022478,Haywood Highsmith,MIA,OKC,,6000,5.6,2.24,3.4,10.1,SF,PF,12022025,
7023253,Baylor Scheierman,BOS,SAS,,6000,5.6,2.24,3.4,10.1,SG,,12022025,
7023131,Julian Phillips,CHI,DET,,6000,5.3,2.12,3.2,9.5,SF,,12022025,
7023900,Kylor Kelley,DAL,GSW,,6000,5,2,3,9,C,,12022025,
7022333,Landry Shamet,NYK,ATL,,6000,4.7,1.88,2.8,8.5,SG,,12022025,
7023133,Isaiah Wong,CHA,ORL,,6000,4.7,1.88,2.8,8.5,SG,,12022025,
7023111,Jett Howard,ORL,CHA,,6000,4.4,1.76,2.6,7.9,SF,,12022025,
7023297,Johnny Furphy,IND,WAS,,6000,4.4,1.76,2.6,7.9,SG,SF,12022025,
7022324,Shake Milton,LAL,UTA,,7250,5.2,2.08,3.1,9.4,SG,PG,12022025,
7022896,Micah Potter,UTA,LAL,,6000,4.2,1.68,2.5,7.6,C,PF,12022025,
7022819,Sandro Mamukelashvili,SAS,BOS,,6000,4,1.6,2.4,7.2,PF,C,12022025,
7023151,Hunter Tyson,DEN,POR,,6000,3.6,1.44,2.2,6.5,PF,,12022025,
7023299,Enrique Freeman,IND,WAS,,6000,3.1,1.24,1.9,5.6,PF,,12022025,
7023014,Caleb Houstan,ORL,CHA,,6000,2.9,1.16,1.7,5.2,SF,PF,12022025,
7000810,Cory Joseph,ORL,CHA,,6000,0,0,0,0,PG,,12022025,
7000814,Patty Mills,LAC,MEM,,6000,0,0,0,0,PG,,12022025,
7000823,Jae Crowder,SAC,NOP,,6000,0,0,0,0,SF,,12022025,
7000835,Eric Gordon,PHI,BKN,OUT OF GAME,6000,0,0,0,0,SG,,12022025,
7000838,Anthony Davis,DAL,GSW,OUT OF GAME,20840,0,0,0,0,PF,C,12022025,
7000845,Jrue Holiday,BOS,SAS,OUT OF GAME,9520,0,0,0,0,PG,,12022025,
7000873,Julius Randle,MIN,MIL,OUT OF GAME,13690,0,0,0,0,PF,,12022025,
7000889,Clint Capela,ATL,NYK,OUT OF GAME,9690,0,0,0,0,C,,12022025,
7000911,Joel Embiid,PHI,BKN,OUT OF GAME,21660,0,0,0,0,C,,12022025,
7000923,Bismack Biyombo,SAS,BOS,,6000,0,0,0,0,C,,12022025,
7000933,Cody Zeller,HOU,PHX,OUT OF GAME,6000,0,0,0,0,C,,12022025,
7000947,Khris Middleton,WAS,IND,OUT OF GAME,9790,0,0,0,0,SF,SG,12022025,
7000949,Giannis Antetokounmpo,MIL,MIN,OUT OF GAME,23210,0,0,0,0,PF,C,12022025,
7000967,Bradley Beal,PHX,HOU,OUT OF GAME,11480,0,0,0,0,SG,SF,12022025,
7000978,Garrett Temple,TOR,CLE,,6000,0,0,0,0,SG,SF,12022025,
7000984,Kelly Olynyk,NOP,SAC,OUT OF GAME,8650,0,0,0,0,C,PF,12022025,
7000985,Marcus Smart,WAS,IND,OUT OF GAME,7600,0,0,0,0,PG,SG,12022025,
7000987,Jeff Green,HOU,PHX,,6000,0,0,0,0,PF,C,12022025,
7000988,Dwight Powell,DAL,GSW,OUT OF GAME,6000,0,0,0,0,C,,12022025,
7001005,Bojan Bogdanovic,BKN,PHI,OUT OF GAME,6000,0,0,0,0,SF,PF,12022025,
7001019,Kyle Lowry,PHI,BKN,OUT OF GAME,6000,0,0,0,0,PG,SG,12022025,
7001023,James Johnson,IND,WAS,,6000,0,0,0,0,PF,,12022025,
7001058,Doug McDermott,SAC,NOP,,6000,0,0,0,0,SF,,12022025,
7001072,Mike Conley,MIN,MIL,OUT OF GAME,10260,0,0,0,0,PG,,12022025,
