Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status,Score,Selected %,Exclude,Date
7001322,PG,T.J. McConnell,Indiana Pacers,Atlanta Hawks,8270,21.76,16.83,,27.5,57,,6032025
7001409,PF,Pascal Siakam,Indiana Pacers,Atlanta Hawks,14500,36.68,37.67,IN STARTING LINEUP,50.75,51,,6032025
7001610,C,Luke Kornet,Boston Celtics,Philadelphia 76ers,7010,16.5,15,IN STARTING LINEUP,31.25,49,,6032025
7023119,SF,Amen Thompson,Houston Rockets,New Orleans Pelicans,15230,33.85,36.5,IN STARTING LINEUP,39.75,33,,6032025
7023119,PG,Amen Thompson,Houston Rockets,New Orleans Pelicans,15230,33.85,36.5,IN STARTING LINEUP,39.75,33,,6032025
7022982,SG,Andrew Nembhard,Indiana Pacers,Atlanta Hawks,11430,24.08,30.75,IN STARTING LINEUP,32.75,32,,6032025
7022982,PG,Andrew Nembhard,Indiana Pacers,Atlanta Hawks,11430,24.08,30.75,IN STARTING LINEUP,32.75,32,,6032025
7022355,SG,Lonnie Walker,Philadelphia 76ers,Boston Celtics,6000,11.54,14.58,,24.25,31,,6032025
7022355,SF,Lonnie Walker,Philadelphia 76ers,Boston Celtics,6000,11.54,14.58,,24.25,31,,6032025
7022707,PG,Tre Jones,Chicago Bulls,Orlando Magic,7540,14.95,22.25,IN STARTING LINEUP,34.25,29,,6032025
7001585,PF,Jayson Tatum,Boston Celtics,Philadelphia 76ers,19860,49.87,55.25,IN STARTING LINEUP,53.25,27,,6032025
7023104,SG,Ben Sheppard,Indiana Pacers,Atlanta Hawks,6000,13.46,15.08,,13,25,,6032025
7022677,SF,Aaron Nesmith,Indiana Pacers,Atlanta Hawks,10180,18.72,27.33,IN STARTING LINEUP,35.25,22,,6032025
7022677,SG,Aaron Nesmith,Indiana Pacers,Atlanta Hawks,10180,18.72,27.33,IN STARTING LINEUP,35.25,22,,6032025
7022820,SF,Franz Wagner,Orlando Magic,Chicago Bulls,17080,42.37,35.92,IN STARTING LINEUP,34.5,20,,6032025
7001501,SF,Torrey Craig,Boston Celtics,Philadelphia 76ers,6000,10.48,4,,19.5,18,,6032025
7001501,PF,Torrey Craig,Boston Celtics,Philadelphia 76ers,6000,10.48,4,,19.5,18,,6032025
7023105,PF,Jarace Walker,Indiana Pacers,Atlanta Hawks,6000,13.46,3.67,IN STARTING LINEUP,19.75,18,,6032025
7023105,SF,Jarace Walker,Indiana Pacers,Atlanta Hawks,6000,13.46,3.67,IN STARTING LINEUP,19.75,18,,6032025
7023286,SF,Justin Edwards,Philadelphia 76ers,Boston Celtics,7240,16.54,14.83,IN STARTING LINEUP,24.5,18,,6032025
7023286,PF,Justin Edwards,Philadelphia 76ers,Boston Celtics,7240,16.54,14.83,IN STARTING LINEUP,24.5,18,,6032025
7022807,SG,Quentin Grimes,Philadelphia 76ers,Boston Celtics,13800,22.63,46.58,IN STARTING LINEUP,24.5,17,,6032025
7022807,SF,Quentin Grimes,Philadelphia 76ers,Boston Celtics,13800,22.63,46.58,IN STARTING LINEUP,24.5,17,,6032025
7022332,PG,Jalen Brunson,New York Knicks,Los Angeles Lakers,16470,42.92,49.42,PLAYER IS INJURED BUT IS A GAME TIME DECISION TO PLAY,59.5,16,,6032025
7022686,PF,Obi Toppin,Indiana Pacers,Atlanta Hawks,7480,19.68,14.25,,9.5,15,,6032025
7022686,C,Obi Toppin,Indiana Pacers,Atlanta Hawks,7480,19.68,14.25,,9.5,15,,6032025
7022858,SG,Austin Reaves,Los Angeles Lakers,New York Knicks,13090,36.42,27.42,,15,15,,6032025
7022858,PG,Austin Reaves,Los Angeles Lakers,New York Knicks,13090,36.42,27.42,,15,15,,6032025
7001408,SG,Caris LeVert,Atlanta Hawks,Indiana Pacers,11180,23.66,37.92,,18.5,15,,6032025
